regarding fan translations,hey everyone a short hike now has multilingual support there are currently official french spanish japanese and brazilian portuguese translations of the game i'm not planning to add additional official translations at the moment making fan translations a number of fan translations have already been made for a short hike i think this is really cool and i'm so happy that people took the time to translate the script which isn't short to new languages since version 17 you can now easily modify the dialogue files for the game without modding it however just keep in mind that fan translations will not be officially added to the game once they are completed if you're working on a fan translation please consider sharing it on the   this makes it easier for people to find and collaborate on translations editing game dialogue in the ashorthikedata folder you can find a file called langcustomyarnlinescsv this contains all the dialogue in the game in the csv format if you rename it to remove the first underscore it will appear in the languages menu ingame allowing you to load it to give your translation a name you can rename it to langmylanguageyarnlinescsv and it will still show up as mylanguage in the menu i recommend editing the spreadsheet in google sheets since it will always preserve the correct csv delimiters other character sets to force the game to use different character sets you can add a font row to the csv only three other character sets are supported right now linecode  linetext font  chinese1201001 font  korean162 font  japanese122 font  cyrillic16 feel free to reach out to me via  discordgg  or  adamgryucom  for support installing fan translations after downloading a file called langmylanguageyarnlinescsv drag it into the ashorthikedata folder wherever the game is installed then just relaunch the game and the translation should appear in the language settings here are some finished fan translations i've found so far  note that i was not involved in their creation in any way and cannot vouch for their quality german korean russian czech turkish by berfuji italian chinese stay safe out there  adam
faq  can i adjust amount of pixelation,i designed the game with the pixelated look in mind and i like it however i get that it's not everyone's cup of tea if you want to adjust the pixelation options > graphics > pixel size this will allow you to decrease the effect or remove it entirely hope this helps
discord server,pleeease set up an official discord server
battle royale coming april 1st this year,i missed it last year lol
how many feathers to be able to climb,the theory is that i need 8 or so right after collecting 10 i'm still unable to move fast enough to stop them freezing perservere
missing achievements,went through and finished the game and nearly all achievos if not all of them and steam just didn't want to recognize it completely had to restart steam and then when i went to sleep in game it gave the ending achievement but i already collected all 22 feathers gold and silver watered nearly every plant if not all etc etc i really don't like replaying through games any suggestions here
5 years later and this game is still amazing,this game lived on my backlog for so long and i regret it finished it and reviewed it   are there any games with similar vibes
why is this game so highly rated,what makes this game a pure masterpiece
为什么使用了中文补丁后游戏无法显示了？,如题，还有什么办法汉化吗tt
cheatsplz,is there a complete list of cheats for short hike  so far i know about boatplz to toggle tank controls i'd love to hear about any more 3 edit woo internet
is there any chance of a sequel,this game is so beautiful and well made it would be really cool to see an evolution of it
didn't get hawk peak and l long nap,i've reached the top of hawk peak flew back down talked with her aunt then went to sleep all in yesterday yet i have neither the hawk peak nor the long nap achievement did anyone encountered this am i missing something
chest bounces not working,i was just messing around in the game and i tried to do chest bounces but i can't seem to do them anymore after the patch i was wondering whether it is a skill issue on my end or it got patched thank you for reading this
what'll happen after taking the nap,i just finished the hiking and want to know whether the game will completely ends and this achieve would be unplayable or i can continue my journey after the nap i'm uncertain about if i should do that can anyone answer me
missing lighthouse parkour race,i'm trying to do the parkour races and i can't seem to get the lighthouse race start i've done the royal ridge and the hawk peak mountaintop races but those are the only two rematches available every time i call avery he's either at royal ridge or the visitor centre so i'm not sure how to get the lighthouse race going  i also can't find where the starting tree for it would theoretically be so i can't even just fly around that area hoping avery shows up
17 fails to launch on mac,since the update to 17 a short hike fails to start on my imac running catalina 10155  i get a steam popup saying os error 4294956486
help my save file doesn't load,i have been playing the game on gamepass and then bought it on steam i was progressing well in my game until one day my pc suddenly shut off now the game doesn't want to start my game but it does let me create new ones and navigate the menu does my save file have any salvation or should i resign myself to starting the game from scratch again
other games with similar control gameplay style,i really loved controlling claire and exploring around with her so i was wondering if there were other games with the same or pretty similar control gameplay style
how do i exit the binoculars w  keyboard and mouse,got stuck  looking through the binoculars
xbox controller issues,i use a xbox one bt controller and 1 it is detected as a trash chars string in the advanced controller option  instead of something like xbox controller or anything else 2 the game uses annoying press b0 b1 b2 b3 instead of correct abxy is there a workaround fix for this gamepad does work at least but device name and buttons are incorrectly displayed
xbox controller  pressing b randomly opens menu,this is actually for the gog version of the game but i'm posting here for extra visibility i'm having an issue with my xbox wireless controller on win 10 where pressing b will sometimes open the menu the same as pressing y this is incredibly annoying and it means that i can't fish since it opens the menu sometimes instead of reeling in the fish i'm using the official wireless adapter for windows i've tested the controls via the menu and in the test screen they appear to be detected fine it's just that when playing the game it acts as though b is interpreted as y about half the time has anyone come across this before it's a shame since i'm enjoying playing the game otherwise but this is frustrating
max amount of coins,your total amount of coins at the end after buying everything and finding all the coins should be 1291 you can remove 25 coins from that if you bought the sunhat at higher price you can remove 60 120 or 180 if you didn't give 400 coins to the though boy as soon as possible you can add 7 14 or 21 if you take off the coins from the medals i used this map  to find all the coins there are 4 coins with the slides off description these coins will slides off into oblivion after loading the game you need to be near them when loading to get them
i think im in love with this game,how can i find more games like it pls help
problems with controller xbox windows 10,hi everybody i really would like to play this with my xbox controller but it doesn't work at all  strangely enough the game does recognize my two xbox controllers  but neither does anything no button push does anything  did anybody have similar problems on windows 10 would be happy for any kind of solution i really want to play this gem with my controller   thank you
can't play beachstickball bug,i played it when i first launched the game got a score of 15 and quit sometime later wanted to play some more later and found that interacting with either character doesn't prompt you to play is it a bug or am i just missing something
map,is there a map from the whole isle
achievements not unlocking,i didn't find any fixes here for my problem any help
why did you buy this game,i'm currently a bit confused i received this game for free on egs as anyone who is a rational gamer would have are people purchasing this game on steam if so why it was offered for free to keep permanently on the egs
trading cards,it'd be pretty cool if this game had a trading card system i reckon badges for this game would be adorable
a stormy view bug,i found the   crumbling blue house near the cemetery   and thought it looked like somewhere that treasure might be hidden i got the treasure before getting the treasure map that led to it and now whenever i read the a stormy view treasure map it doesn't say i think i've already got this one afterwards
horrible controls,i need to get a rant or a scream off my chest here this is a lovely game but it does not help at all i can barely control the little monster of a character let alone pan the camera around to see where i am going especially in regards to trying to fly to golden leaf this is the opposite of what a game is supposed to do instead of fun i've driven myself to motion sickness and being really upset with the game itself forget accessible to those with difficulties it's barely accessible to those of us without them
